0,1,2,3,4,5
1782 Schneller,{{mp|1931 TL|1}},"October 6, 1931",Heidelberg,K. Reinmuth,{{MPCdb|1782}}
1783 Albitskij,1935 FJ,"March 24, 1935",Crimea-Simeis,G. N. Neujmin,{{MPCdb|1783}}
1784 Benguella,1935 MG,"June 30, 1935",Johannesburg,C. Jackson,{{MPCdb|1784}}
1785 Wurm,1941 CD,"February 15, 1941",Heidelberg,K. Reinmuth,{{MPCdb|1785}}
1786 Raahe,1948 TL,"October 9, 1948",Turku,H. Alikoski,{{MPCdb|1786}}
1787 Chiny,1950 SK,"September 19, 1950",Uccle,S. J. Arend,{{MPCdb|1787}}
1788 Kiess,1952 OZ,"July 25, 1952",Brooklyn,Indiana University,{{MPCdb|1788}}
1789 Dobrovolsky,1966 QC,"August 19, 1966",Nauchnij,L. I. Chernykh,{{MPCdb|1789}}
1790 Volkov,1967 ER,"March 9, 1967",Nauchnij,L. I. Chernykh,{{MPCdb|1790}}
1791 Patsayev,1967 RE,"September 4, 1967",Nauchnij,T. M. Smirnova,{{MPCdb|1791}}
1792 Reni,1968 BG,"January 24, 1968",Nauchnij,L. I. Chernykh,{{MPCdb|1792}}
1793 Zoya,1968 DW,"February 28, 1968",Nauchnij,T. M. Smirnova,{{MPCdb|1793}}
1794 Finsen,1970 GA,"April 7, 1970",Hartbeespoort,J. A. Bruwer,{{MPCdb|1794}}
1795 Woltjer,4010 P-L,"September 24, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",{{MPCdb|1795}}
1796 Riga,1966 KB,"May 16, 1966",Nauchnij,N. S. Chernykh,{{MPCdb|1796}}
1797 Schaumasse,1936 VH,"November 15, 1936",Nice,A. Patry,{{MPCdb|1797}}
1798 Watts,1949 GC,"April 4, 1949",Brooklyn,Indiana University,{{MPCdb|1798}}
1799 Koussevitzky,1950 OE,"July 25, 1950",Brooklyn,Indiana University,{{MPCdb|1799}}
1800 Aguilar,1950 RJ,"September 12, 1950",La Plata Observatory,M. Itzigsohn,{{MPCdb|1800}}
